migration,verdict,tables,detail
2026_04_13_000001_add_product_video_columns_to_items_and_temp_products_tables,"ALREADY REPRESENTED","items,temp_products","all added columns present in baseline (2)"
2026_04_13_120000_add_show_low_stock_count_to_store_configs_table,UNKNOWN,,
2026_04_16_140158_add_ride_id_col_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (1)"
2026_06_04_162817_add_join_as_col_to_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (3)"
2026_07_02_000001_create_urban_goodz_measurement_requests_table,"ALREADY REPRESENTED",urban_goodz_measurement_requests,"baseline already contains: urban_goodz_measurement_requests [idempotent guard present - safe to re-run]"
2026_07_03_000001_create_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"baseline already contains: order_anywhere_requests [idempotent guard present - safe to re-run]"
2026_07_03_000002_create_urban_goodz_payment_ledgers_table,"ALREADY REPRESENTED",urban_goodz_payment_ledgers,"baseline already contains: urban_goodz_payment_ledgers [idempotent guard present - safe to re-run]"
2026_07_03_000003_create_urban_goodz_payment_splits_table,"ALREADY REPRESENTED",urban_goodz_payment_splits,"baseline already contains: urban_goodz_payment_splits [idempotent guard present - safe to re-run]"
2026_07_03_000004_add_payment_fields_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (14) [idempotent guard present - safe to re-run]"
2026_07_05_000001_create_urban_goodz_ingestion_tables,"ALREADY REPRESENTED","urban_goodz_import_batches,urban_goodz_sourced_businesses,urban_goodz_sourced_products,urban_goodz_sourced_images,urban_goodz_demand_signals","baseline already contains: urban_goodz_import_batches,urban_goodz_sourced_businesses,urban_goodz_sourced_products,urban_goodz_sourced_images,urban_goodz_demand_signals"
2026_07_05_214527_add_public_listing_fields_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (26)"
2026_07_06_100000_add_missing_fields_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (7) [idempotent guard present - safe to re-run]"
2026_07_06_110000_add_driver_assignment_fields_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (9) [idempotent guard present - safe to re-run]"
2026_07_06_120000_create_urban_goodz_files_table,"ALREADY REPRESENTED",urban_goodz_files,"baseline already contains: urban_goodz_files [idempotent guard present - safe to re-run]"
2026_07_06_130000_add_photo_file_ids_to_measurement_requests_table,"ALREADY REPRESENTED",urban_goodz_measurement_requests,"all added columns present in baseline (3) [idempotent guard present - safe to re-run]"
2026_07_06_140000_create_urban_goodz_business_types_table,"ALREADY REPRESENTED",urban_goodz_business_types,"baseline already contains: urban_goodz_business_types [idempotent guard present - safe to re-run]"
2026_07_06_140001_create_urban_goodz_capabilities_table,"ALREADY REPRESENTED",urban_goodz_capabilities,"baseline already contains: urban_goodz_capabilities [idempotent guard present - safe to re-run]"
2026_07_06_140002_create_urban_goodz_business_type_default_capabilities_table,"ALREADY REPRESENTED",urban_goodz_business_type_default_capabilities,"baseline already contains: urban_goodz_business_type_default_capabilities [idempotent guard present - safe to re-run]"
2026_07_06_140003_create_urban_goodz_business_capabilities_table,"ALREADY REPRESENTED",urban_goodz_business_capabilities,"baseline already contains: urban_goodz_business_capabilities [idempotent guard present - safe to re-run]"
2026_07_06_140004_add_business_type_slug_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1) [idempotent guard present - safe to re-run]"
2026_07_06_140005_add_itemized_pricing_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (5) [idempotent guard present - safe to re-run]"
2026_07_06_140006_create_urban_goodz_ai_intents_table,"ALREADY REPRESENTED",urban_goodz_ai_intents,"baseline already contains: urban_goodz_ai_intents [idempotent guard present - safe to re-run]"
2026_07_06_140007_create_urban_goodz_ai_conversations_table,"ALREADY REPRESENTED",urban_goodz_ai_conversations,"baseline already contains: urban_goodz_ai_conversations [idempotent guard present - safe to re-run]"
2026_07_06_180000_create_urban_goodz_backend_modules_tables,"ALREADY REPRESENTED","urban_goodz_service_requests,urban_goodz_service_providers,urban_goodz_appointments,urban_goodz_community_posts,urban_goodz_community_comments,urban_goodz_community_marketplace_items,urban_goodz_creator_applications,urban_goodz_creator_products,urban_goodz_logistics_jobs,urban_goodz_medical_courier_jobs,urban_goodz_medical_courier_custody_logs,urban_goodz_earn_money_opportunities,urban_goodz_earn_money_applications,urban_goodz_events,urban_goodz_plus_memberships,urban_goodz_spotlight_businesses,urban_goodz_discovery_searches","baseline already contains: urban_goodz_service_requests,urban_goodz_service_providers,urban_goodz_appointments,urban_goodz_community_posts,urban_goodz_community_comments,urban_goodz_community_marketplace_items,urban_goodz_creator_applications,urban_goodz_creator_products,urban_goodz_logistics_jobs,urban_goodz_medical_courier_jobs,urban_goodz_medical_courier_custody_logs,urban_goodz_earn_money_opportunities,urban_goodz_earn_money_applications,urban_goodz_events,urban_goodz_plus_memberships,urban_goodz_spotlight_businesses,urban_goodz_discovery_searches [idempotent guard present - safe to re-run]"
2026_07_06_190000_create_urban_goodz_rental_tables,"ALREADY REPRESENTED","urban_goodz_rental_assets,urban_goodz_rental_bookings,urban_goodz_rental_inspections","baseline already contains: urban_goodz_rental_assets,urban_goodz_rental_bookings,urban_goodz_rental_inspections [idempotent guard present - safe to re-run]"
2026_07_07_100000_create_urban_goodz_creator_space_tables,"ALREADY REPRESENTED","urban_goodz_creator_profiles,urban_goodz_creator_campaigns,urban_goodz_creator_campaign_assignments,urban_goodz_creator_content,urban_goodz_creator_earnings,urban_goodz_creator_business_leads,urban_goodz_creator_event_promotions,urban_goodz_creator_applications","baseline already contains: urban_goodz_creator_profiles,urban_goodz_creator_campaigns,urban_goodz_creator_campaign_assignments,urban_goodz_creator_content,urban_goodz_creator_earnings,urban_goodz_creator_business_leads,urban_goodz_creator_event_promotions [idempotent guard present - safe to re-run]"
2026_07_08_000001_create_urban_goodz_business_client_tables,"ALREADY REPRESENTED","urban_goodz_business_clients,urban_goodz_business_client_users,urban_goodz_business_client_locations,urban_goodz_business_client_documents,urban_goodz_business_client_jobs","baseline already contains: urban_goodz_business_clients,urban_goodz_business_client_users,urban_goodz_business_client_locations,urban_goodz_business_client_documents,urban_goodz_business_client_jobs [idempotent guard present - safe to re-run]"
2026_07_08_000002_create_urban_goodz_route_package_tables,"ALREADY REPRESENTED","urban_goodz_dedicated_routes,urban_goodz_route_batches,urban_goodz_route_packages,urban_goodz_package_scans,urban_goodz_route_assignments,urban_goodz_route_optimization_stops,urban_goodz_driver_earnings,urban_goodz_driver_payout_requests,urban_goodz_client_invoices,urban_goodz_medical_custody_logs","baseline already contains: urban_goodz_dedicated_routes,urban_goodz_route_batches,urban_goodz_route_packages,urban_goodz_package_scans,urban_goodz_route_assignments,urban_goodz_route_optimization_stops,urban_goodz_driver_earnings,urban_goodz_driver_payout_requests,urban_goodz_client_invoices,urban_goodz_medical_custody_logs [idempotent guard present - safe to re-run]"
2026_07_08_100000_add_route_package_foundation_fields,"DUPLICATE ALTER","urban_goodz_dedicated_routes,urban_goodz_route_packages","partial overlap - present: returned_packages,payout_model,route_offer_amount,estimated_miles | absent: dropoff_city,dropoff_state,dropoff_zip,stop_order"
2026_07_08_110000_make_dedicated_route_id_nullable,"ALREADY REPRESENTED",urban_goodz_route_packages,"all added columns present in baseline (4) [idempotent guard present - safe to re-run]"
2026_07_08_120000_add_end_location_to_dedicated_routes,"ALREADY REPRESENTED",urban_goodz_dedicated_routes,"all added columns present in baseline (3) [idempotent guard present - safe to re-run]"
2026_07_08_130000_fix_dedicated_route_id_nullable,"ALREADY REPRESENTED",urban_goodz_route_packages,"all added columns present in baseline (4) [idempotent guard present - safe to re-run]"
2026_07_08_140000_create_urban_goodz_manifests_table,"ALREADY REPRESENTED","urban_goodz_manifests,urban_goodz_route_packages","baseline already contains: urban_goodz_manifests [idempotent guard present - safe to re-run]"
2026_07_09_000000_create_urban_goodz_activity_logs_table,"ALREADY REPRESENTED",urban_goodz_activity_logs,"baseline already contains: urban_goodz_activity_logs"
2026_07_09_000001_add_business_client_management_fields,"DUPLICATE ALTER","urban_goodz_business_clients,urban_goodz_business_client_users,urban_goodz_business_client_locations","partial overlap - present: contact_name,contact_email,contact_phone,billing_email | absent: last_login_at,operating_hours,pickup_instructions,delivery_instructions"
2026_07_09_000001_add_payment_link_fields_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (4)"
2026_07_09_000002_add_manifest_metrics_fields,"ALREADY REPRESENTED",urban_goodz_manifests,"all added columns present in baseline (5) [idempotent guard present - safe to re-run]"
2026_07_09_000002_create_urban_goodz_payment_transactions_table,"ALREADY REPRESENTED",urban_goodz_payment_transactions,"baseline already contains: urban_goodz_payment_transactions"
2026_07_09_000003_add_provider_neutral_columns_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (5) [idempotent guard present - safe to re-run]"
2026_07_09_000004_create_urban_goodz_order_anywhere_card_requests_table,"ALREADY REPRESENTED",urban_goodz_order_anywhere_card_requests,"baseline already contains: urban_goodz_order_anywhere_card_requests"
2026_07_09_000005_add_connect_fields_to_order_anywhere_requests_table,"ALREADY REPRESENTED",order_anywhere_requests,"all added columns present in baseline (11) [idempotent guard present - safe to re-run]"
2026_07_09_000300_add_age_restricted_compliance_fields,"DUPLICATE ALTER","urban_goodz_route_packages,urban_goodz_dedicated_routes,orders,items","partial overlap - present: age_restricted,requires_id_verification,no_contactless_delivery,delivery_completion_locked_until_verified | absent: contains_age_restricted_items,age_restricted_order,age_restricted_type"
2026_07_09_000400_create_urban_goodz_age_verifications_table,"ALREADY REPRESENTED",urban_goodz_age_verifications,"baseline already contains: urban_goodz_age_verifications [idempotent guard present - safe to re-run]"
2026_07_09_000500_add_customer_age_confirmation_to_orders,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1) [idempotent guard present - safe to re-run]"
2026_07_09_000600_create_ai_copilot_recommendations_table,"ALREADY REPRESENTED","ai_copilot_recommendations,ai_copilot_recommendations","baseline already contains: ai_copilot_recommendations [idempotent guard present - safe to re-run]"
2026_07_09_000700_create_ai_copilot_settings_table,"ALREADY REPRESENTED",ai_copilot_settings,"baseline already contains: ai_copilot_settings [idempotent guard present - safe to re-run]"
2026_07_09_000800_create_ai_action_logs_table,"ALREADY REPRESENTED",ai_action_logs,"baseline already contains: ai_action_logs [idempotent guard present - safe to re-run]"
2026_07_09_000900_create_ai_risk_rules_table,"ALREADY REPRESENTED",ai_risk_rules,"baseline already contains: ai_risk_rules [idempotent guard present - safe to re-run]"
2026_07_09_001000_create_ai_module_automation_settings_table,"ALREADY REPRESENTED",ai_module_automation_settings,"baseline already contains: ai_module_automation_settings [idempotent guard present - safe to re-run]"
2026_07_09_001100_add_driver_fields_to_business_client_jobs_table,"ALREADY REPRESENTED",urban_goodz_business_client_jobs,"all added columns present in baseline (4) [idempotent guard present - safe to re-run]"
2026_07_09_001200_add_capability_fields_to_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (16) [idempotent guard present - safe to re-run]"
2026_07_09_020000_fix_route_packages_missing_portal_columns,"DUPLICATE ALTER",urban_goodz_route_packages,"partial overlap - present: manifest_id,dropoff_city,dropoff_state,dropoff_zip | absent: urban_goodz_route_packages,select count(1) as c from information_schema.statistics where table_schema = ? and table_name = ? and index_name = ?,select count(1) as c from information_schema.table_constraints where table_schema = ? and table_name = ? and constraint_name = ? and constraint_type = ?"
2026_07_09_213618_add_business_client_job_id_to_urban_goodz_driver_earnings_table,"ALREADY REPRESENTED",urban_goodz_driver_earnings,"all added columns present in baseline (1) [idempotent guard present - safe to re-run]"
2026_07_10_000001_add_trailer_cdl_commercial_fields_to_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (26) [idempotent guard present - safe to re-run]"
2026_07_10_000002_fix_mail_config_smtp_host,UNKNOWN,,
2026_07_10_000003_add_brute_force_cols_to_email_verifications_table,"ALREADY REPRESENTED",email_verifications,"all added columns present in baseline (3) [idempotent guard present - safe to re-run]"
2026_07_10_000004_add_two_factor_auth_to_admins_table,"ALREADY REPRESENTED",admins,"all added columns present in baseline (4) [idempotent guard present - safe to re-run]"
2026_07_11_000001_add_vehicle_identity_fields_to_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (15) [idempotent guard present - safe to re-run]"
2026_07_11_100000_create_urban_goodz_load_board_loads_table,"ALREADY REPRESENTED",urban_goodz_load_board_loads,"baseline already contains: urban_goodz_load_board_loads"
2026_07_12_000000_enhance_urban_goodz_medical_courier_jobs_table,"ALREADY REPRESENTED",urban_goodz_medical_courier_jobs,"all added columns present in baseline (26) [idempotent guard present - safe to re-run]"
2026_07_12_000001_add_neck_and_due_date_to_measurement_requests_table,"ALREADY REPRESENTED",urban_goodz_measurement_requests,"all added columns present in baseline (2) [idempotent guard present - safe to re-run]"
2026_07_12_000002_create_urban_goodz_book_anywhere_requests_table,"ALREADY REPRESENTED",urban_goodz_book_anywhere_requests,"baseline already contains: urban_goodz_book_anywhere_requests"
2026_07_12_000003_encrypt_mail_config_password,UNKNOWN,,
2026_07_12_100000_add_dispatch_company_support,"ALREADY REPRESENTED","urban_goodz_dispatch_commissions,urban_goodz_business_clients,urban_goodz_load_board_loads","baseline already contains: urban_goodz_dispatch_commissions [idempotent guard present - safe to re-run]"
2026_07_12_100000_create_fashion_fit_ai_workflow_tables,"APPLICABLE AFTER BASELINE","fashion_fit_profiles,fashion_fit_consents,fashion_fit_provider_profiles,fashion_fit_photos,fashion_fit_analyses,fashion_fit_measurements,fashion_fit_requests,fashion_fit_estimates,fashion_fit_access_grants,fashion_fit_audit_events","baseline missing table(s): fashion_fit_profiles,fashion_fit_consents,fashion_fit_provider_profiles,fashion_fit_photos,fashion_fit_analyses,fashion_fit_measurements,fashion_fit_requests,fashion_fit_estimates,fashion_fit_access_grants,fashion_fit_audit_events"
2026_07_12_120000_complete_creator_reel_commerce,"APPLICABLE AFTER BASELINE","creator_reel_tags,creator_commerce_attributions,creator_reel_reports,urban_goodz_creator_profiles,reels","baseline missing table(s): creator_reel_tags,creator_commerce_attributions,creator_reel_reports"
2026_07_12_130000_complete_service_booking_workflow,"APPLICABLE AFTER BASELINE","urban_goodz_provider_services,urban_goodz_provider_availability,urban_goodz_service_booking_events,urban_goodz_service_provider_earnings,urban_goodz_service_reviews,urban_goodz_service_providers,urban_goodz_service_requests","baseline missing table(s): urban_goodz_provider_services,urban_goodz_provider_availability,urban_goodz_service_booking_events,urban_goodz_service_provider_earnings,urban_goodz_service_reviews"
2026_07_12_150000_add_soft_deletes_to_urban_goodz_medical_courier_jobs,UNKNOWN,urban_goodz_medical_courier_jobs,"no parsable column operation (index/FK-only or dynamic)"
2026_07_12_200000_add_financial_workflow_to_load_board_loads,"APPLICABLE AFTER BASELINE","urban_goodz_load_board_audit_logs,urban_goodz_load_board_loads","baseline missing table(s): urban_goodz_load_board_audit_logs"
2026_07_13_000001_add_logistics_e2e_columns_and_tables,"APPLICABLE AFTER BASELINE","urban_goodz_load_board_bids,urban_goodz_dispatch_audit_logs,urban_goodz_driver_earnings","baseline missing table(s): urban_goodz_load_board_bids,urban_goodz_dispatch_audit_logs"
2026_07_13_000001_create_delivery_man_vehicles_table,"APPLICABLE AFTER BASELINE",delivery_man_vehicles,"baseline missing table(s): delivery_man_vehicles"
2026_07_13_000002_create_driver_certifications_table,"APPLICABLE AFTER BASELINE",driver_certifications,"baseline missing table(s): driver_certifications"
2026_07_13_000003_create_vendor_notifications_table,"APPLICABLE AFTER BASELINE",vendor_notifications,"baseline missing table(s): vendor_notifications"
2026_07_13_000004_add_delivery_man_id_and_applied_at_to_earn_money_applications_table,"APPLICABLE AFTER BASELINE",urban_goodz_earn_money_applications,"columns absent from baseline: delivery_man_id,delivery_men,applied_at"
2026_07_13_100000_create_load_sourcing_system_tables,"APPLICABLE AFTER BASELINE","load_sources,external_loads,load_source_credentials,load_source_searches,load_source_search_results,load_source_sync_runs,load_source_errors,load_recommendations,driver_load_preferences,dispatcher_saved_searches,load_imports,load_email_ingestions,load_duplicates,load_partner_referrals,load_sourcing_settings,load_sources,urban_goodz_load_board_loads","baseline missing table(s): load_sources,external_loads,load_source_credentials,load_source_searches,load_source_search_results,load_source_sync_runs,load_source_errors,load_recommendations,driver_load_preferences,dispatcher_saved_searches,load_imports,load_email_ingestions,load_duplicates,load_partner_referrals,load_sourcing_settings"
2026_07_16_140000_seed_urban_goodz_ai_intents,UNKNOWN,,
2026_07_16_140001_seed_urban_goodz_test_records,UNKNOWN,,
2026_07_16_150000_add_rbac_and_audit_to_business_portal,"APPLICABLE AFTER BASELINE","urban_goodz_business_portal_audit_logs,urban_goodz_business_portal_audit_logs,urban_goodz_business_client_users","baseline missing table(s): urban_goodz_business_portal_audit_logs"
2026_07_16_150001_create_urban_goodz_impersonation_sessions_table,"APPLICABLE AFTER BASELINE",urban_goodz_impersonation_sessions,"baseline missing table(s): urban_goodz_impersonation_sessions"
2026_07_16_160000_add_fulfillment_and_card_issuing_fields_to_order_anywhere_requests_table,"DUPLICATE ALTER",order_anywhere_requests,"partial overlap - present: payment_captured_at | absent: fulfillment_type,sourcing_status,shopper_id,shopper_status"
2026_07_17_100000_create_urban_goodz_driver_pricing_policies_table,"APPLICABLE AFTER BASELINE","urban_goodz_driver_pricing_policies,urban_goodz_driver_earnings","baseline missing table(s): urban_goodz_driver_pricing_policies"
2026_07_19_000001_create_urban_goodz_notifications_table,"APPLICABLE AFTER BASELINE",urban_goodz_notifications,"baseline missing table(s): urban_goodz_notifications"
2026_07_19_061756_create_urban_goodz_intake_batches_table,"APPLICABLE AFTER BASELINE",urban_goodz_intake_batches,"baseline missing table(s): urban_goodz_intake_batches"
2026_07_19_061757_create_urban_goodz_batch_participants_table,"APPLICABLE AFTER BASELINE",urban_goodz_batch_participants,"baseline missing table(s): urban_goodz_batch_participants"
2026_07_19_061758_create_urban_goodz_batch_packages_table,"APPLICABLE AFTER BASELINE",urban_goodz_batch_packages,"baseline missing table(s): urban_goodz_batch_packages"
2026_07_19_061759_create_urban_goodz_batch_package_audits_table,"APPLICABLE AFTER BASELINE",urban_goodz_batch_package_audits,"baseline missing table(s): urban_goodz_batch_package_audits"
2026_07_19_061800_create_urban_goodz_intake_batch_audits_table,"APPLICABLE AFTER BASELINE",urban_goodz_intake_batch_audits,"baseline missing table(s): urban_goodz_intake_batch_audits"
2026_07_19_110153_create_urban_goodz_route_clustering_audits_table,"APPLICABLE AFTER BASELINE",urban_goodz_route_clustering_audits,"baseline missing table(s): urban_goodz_route_clustering_audits"
2026_07_19_120000_add_intake_batch_id_and_route_label_to_dedicated_routes,"DUPLICATE ALTER",urban_goodz_dedicated_routes,"partial overlap - present: business_client_id | absent: intake_batch_id,urban_goodz_intake_batches,route_label"
2026_07_19_150000_add_private_endpoint_to_delivery_men,"APPLICABLE AFTER BASELINE",delivery_men,"columns absent from baseline: private_endpoint_address,private_endpoint_lat,private_endpoint_lng,private_endpoint_status"
2026_07_19_150100_create_urban_goodz_route_execution_versions_table,"APPLICABLE AFTER BASELINE",urban_goodz_route_execution_versions,"baseline missing table(s): urban_goodz_route_execution_versions"
2026_07_19_160000_create_ai_agents_table,"APPLICABLE AFTER BASELINE",ai_agents,"baseline missing table(s): ai_agents"
2026_07_19_160100_create_ai_tasks_table,"APPLICABLE AFTER BASELINE",ai_tasks,"baseline missing table(s): ai_tasks"
2026_07_19_160200_create_ai_workforce_actions_table,"APPLICABLE AFTER BASELINE",ai_workforce_actions,"baseline missing table(s): ai_workforce_actions"
2026_07_19_160300_create_ai_approvals_table,"APPLICABLE AFTER BASELINE",ai_approvals,"baseline missing table(s): ai_approvals"
2026_07_19_160400_create_merchant_prospects_table,"APPLICABLE AFTER BASELINE","merchant_prospects,merchant_prospect_order_anywhere","baseline missing table(s): merchant_prospects,merchant_prospect_order_anywhere"
2026_07_19_160500_create_ai_outreach_tables,"APPLICABLE AFTER BASELINE","ai_outreach_templates,ai_outreach_messages","baseline missing table(s): ai_outreach_templates,ai_outreach_messages"
2026_07_19_160600_create_ai_audit_events_table,"APPLICABLE AFTER BASELINE",ai_audit_events,"baseline missing table(s): ai_audit_events"
2026_07_19_160700_create_human_action_items_table,"APPLICABLE AFTER BASELINE",human_action_items,"baseline missing table(s): human_action_items"
2026_07_19_160800_create_business_needs_table,"APPLICABLE AFTER BASELINE",business_needs,"baseline missing table(s): business_needs"
2026_07_19_160900_create_ai_companion_contexts_table,"APPLICABLE AFTER BASELINE",ai_companion_contexts,"baseline missing table(s): ai_companion_contexts"
2026_07_21_000001_create_ai_dispatches_table,"APPLICABLE AFTER BASELINE",ai_dispatches,"baseline missing table(s): ai_dispatches"
2026_07_21_000002_add_order_id_to_order_anywhere_requests_table,"APPLICABLE AFTER BASELINE",order_anywhere_requests,"columns absent from baseline: order_id"
